"['Humanities and Social Sciences', '_', '_']"
"['Acad Writing Research1', '4', '_']"
"['Select one of the following:', '3', '_']"
"['COM\xa0110', 'Public Speaking', '0']"
"['COM\xa0112', 'Interpersonal Communication', '0']"
"['COM\xa0211', 'Argumentation and Advocacy', '0']"
"['PSY\xa0200', 'Introduction to Psychology', '3']"
"['Select one of the following:', '3', '3']"
"['ARE\xa0201', 'Introduction to Agricultural & Resource Economics', '0']"
"['ARE\xa0201A', 'Introduction to Agricultural & Resource Economics', '0']"
"['EC\xa0201', 'Principles of Microeconomics', '0']"
"['EC\xa0202', 'Principles of Macroeconomics', '3']"
"['Select one of the following:', '3', '3']"
"['ENG\xa0331', 'Communication for Engineering and Technology', '0']"
"['ENG\xa0332', 'Communication for Business and Management', '0']"
"['ENG\xa0333', 'Communication for Science and Research', '0']"
"['GEP Humanities', '6', '0']"
"['GEP Elective', '3', '0']"
"['Select one of the following: (verify requirement)', '_', '_']"
"['MIE\xa0306', 'Managing Ethics in Organizations', '0']"
"['PHI\xa0214', 'Issues in Business Ethics', '0']"
"['PHI\xa0221', 'Contemporary Moral Issues', '0']"
"['PHI\xa0313', 'Ethical Problems in the Law', '0']"
"['PHI\xa0375', 'Ethics', '0']"
"['World Language Proficiency(verify requirement)', '_', '_']"
"['Mathematical and Natural Sciences', '_', '_']"
"['GEP Natural Sciences', '7', '_']"
"['Select one of the following:1', '3', '_']"
"['MA\xa0121', 'Elements of Calculus', '0']"
"['MA\xa0131', 'Calculus for Life and Management Sciences A', '0']"
"['MA\xa0141', 'Calculus I', '0']"
"['MA\xa0114', 'Introduction to Finite Mathematics with Applications', '3']"
"['orMA\xa0242', 'Calculus III', '3']"
"['Select one of the following:', '3', '3']"
"['BUS\xa0350', 'Economics and Business Statistics', '0']"
"['ST\xa0350', 'Economics and Business Statistics', '0']"
"['ST\xa0312', 'Introduction to Statistics II', '0']"
"['ST\xa0370', 'Probability and Statistics for Engineers', '0']"
"['ST\xa0372', 'Introduction to Statistical Inference and Regression', '0']"
"['BUS\xa0351', 'Introduction to Business Analytics', '3']"
"['ST\xa0307', 'Introduction to Statistical Programming- SAS', '1']"
"['orST\xa0308', 'Introduction to Statistical Programming - R', '1']"
"['Interdisciplinary Perspectives', '_', '_']"
"['GEP Interdisciplinary Perspectives', '2', '_']"
"['Physical Education', '_', '_']"
"['GEP Health and Exercise Studies', '2', '_']"
"['Corequisites', '_', '_']"
"['GEP Global Knowledge(verify requirement)', '_', '_']"
"['GEP Foundations of American Democracy(verify requirement)', '_', '_']"
"['Major Requirements (Non-Acc)', '_', '_']"
"['M\xa0100', 'Personal and Professional Identity Development4', '1']"
"['orM\xa0120', 'Professional Development and Career Planning', '1']"
"['MIE\xa0201', 'Introduction to Business', '3']"
"['BUS\xa0320', 'Principles of Finance', '3']"
"['MIE\xa0330', 'Managing People', '3']"
"['BUS\xa0360', 'Principles of Marketing', '3']"
"['BUS\xa0370', 'Operations and Supply Chain Management', '3']"
"['MIE\xa0305', 'Legal and Regulatory Environment', '3']"
"['MIE\xa0480', 'Business Policy and Strategy', '3']"
"['Major Requirements (Acc)', '_', '_']"
"['ACC\xa0210', 'Concepts of Financial Reporting2', '3']"
"['ACC\xa0220', 'Introduction to Managerial Accounting1', '3']"
"['ACC\xa0310', 'Intermediate Financial Accounting I1', '3']"
"['ACC\xa0311', 'Intermediate Financial Accounting II1', '3']"
"['ACC\xa0330', 'An Introduction To Income Taxation1', '3']"
"['ACC\xa0340', 'Accounting Information Systems1', '3']"
"['ACC\xa0450', 'Auditing and Assurance Services', '3']"
"['ACC\xa0458', 'Accounting Analytics I: Tools and Techniques', '3']"
"['ACC\xa0459', 'Accounting Analytics II: From Data to Decisions', '3']"
"['Accounting Elective', '3', '3']"
"['Select one of the following:', '3', '3']"
"['ACC\xa0230', 'Individual Income Taxation', '0']"
"['ACC\xa0411', 'Business Valuation', '0']"
"['ACC\xa0420', 'Cost Accounting for Effective Management', '0']"
"['ACC\xa0440', 'Enterprise Resource Planning Systems: Implementation, Risk, and Analytics', '0']"
"['ACC\xa0452', 'Accounting Practicum', '0']"
"['ACC\xa0453', 'Introduction to Academic Research in Business and Economics', '0']"
"['ACC\xa0495', 'Special Topics in Accounting', '0']"
"['ACC\xa0499', 'Internship in ACC', '0']"
"['Free Electives3', '16', '0']"
