"['Orientation', '_', '_']"
"['COS\xa0100', 'Science of Change (Verify Requirement)1', '0']"
"['orE\xa0115', 'Introduction to Computing Environments', '0']"
"['Communication and Advanced Writing', '_', '_']"
"['ENG\xa0101', 'Academic Writing and Research', '4']"
"['Select one of the communication courses (Verify requirement):1', '0', '4']"
"['COM\xa0110', 'Public Speaking', '0']"
"['COM\xa0112', 'Interpersonal Communication', '0']"
"['COM\xa0211', 'Argumentation and Advocacy', '0']"
"['COM\xa0292', 'Language, Communication, and Culture', '0']"
"['Select one of the following Advanced Writing courses:', '3', '0']"
"['ENG\xa0331', 'Communication for Engineering and Technology', '0']"
"['ENG\xa0332', 'Communication for Business and Management', '0']"
"['ENG\xa0333', 'Communication for Science and Research', '0']"
"['ENG\xa0425', 'Analysis of Scientific and Technical Writing', '0']"
"['Basic Mathematics4', '_', '_']"
"['MA\xa0141', 'Calculus I2', '4']"
"['MA\xa0241', 'Calculus II2', '4']"
"['MA\xa0242', 'Calculus III', '4']"
"['MA\xa0225', 'Foundations of Advanced Mathematics', '3']"
"['MA\xa0305', 'Introduction to Linear Algebra and Matrices', '3']"
"['MA\xa0341', 'Applied Differential Equations I', '3']"
"['Basic Science3', '_', '_']"
"['Courses must be taken from two different disciplines', '8', '_']"
"['CH\xa0101&CH\xa0102', 'Chemistry - A Molecular Scienceand General Chemistry Laboratory', '0']"
"['CH\xa0103&CH\xa0104', 'General Chemistry I for Students in Chemical Sciencesand General Chemistry Laboratory I for Students in Chemical Sciences', '0']"
"['PY\xa0205', 'Physics for Engineers and Scientists I', '0']"
"['orPY\xa0201', 'University Physics I', '0']"
"['BIO\xa0181', 'Introductory Biology: Ecology, Evolution, and Biodiversity', '0']"
"['BIO\xa0183', 'Introductory Biology: Cellular and Molecular Biology', '0']"
"['Additional  Basic Science', '4', '0']"
"['Select one of the following options for the Statistics requirement:3', '6', '0']"
"['ST\xa0371&ST\xa0372', 'Introduction to Probability and Distribution Theoryand Introduction to Statistical Inference and Regression', '0']"
"['ST\xa0370&ST\xa0422', 'Probability and Statistics for Engineersand Introduction to Mathematical Statistics II', '0']"
"['Select one of the following Introduction to Programming courses:3', '3', '0']"
"['CSC\xa0111', 'Introduction to Computing and Data Science with AI - Python', '0']"
"['CSC\xa0112', 'Introduction to Computing-FORTRAN', '0']"
"['CSC\xa0113', 'Introduction to Computing - MATLAB', '0']"
"['CSC\xa0116', 'Introduction to Computing - Java', '0']"
"['MA\xa0116', 'Introduction to Scientific Programming (Math)', '0']"
"['ST\xa0114', 'Statistical Programming', '0']"
"['Advanced Mathematics5, 6', '_', '_']"
"['MA\xa0401', 'Applied Differential Equations II', '3']"
"['orMA\xa0501', 'Advanced Mathematics for Engineers and Scientists I', '3']"
"['MA\xa0405', 'Advanced Linear Algebra', '3']"
"['MA\xa0407', 'Introduction to Modern Algebra for Mathematics Majors', '3']"
"['MA\xa0425', 'Mathematical Analysis I', '3']"
"['Financial Math Electives', '6', '3']"
"['MA\xa0421', 'Introduction to Probability', '3']"
"['Math Electives', '6', '3']"
"['Select one of the following three options for the major paper requirement:', '0', '3']"
"['MA\xa0491', 'Reading in Honors Mathematics', '0']"
"['MA\xa0494', 'Major Paper in Mathematics', '0']"
"['MA\xa0499', 'Independent Research in Mathematics', '0']"
"['Advised Electives', '_', '_']"
"['Advised Electives', '9', '_']"
"['Advised electives are ST, ACC, or EC courses at 300-level or above designed to allow students to concentrate in a specific area related to their academic goals. Courses used to fulfill this requirement should use advanced mathematical tools and are selected by students after consultation and approval by their advisors or the Director of the Undergraduate Program. At least one course must be chosen from the Major Paper course list.', '_', '_']"
"['Concentration Requirements', '_', '_']"
"['EC\xa0201', 'Principles of Microeconomics', '3']"
"['orEC\xa0205', 'Fundamentals of Economics', '3']"
"['EC\xa0301', 'Intermediate Microeconomics', '3']"
"['EC\xa0302', 'Intermediate Macroeconomics', '3']"
"['ST\xa0307', 'Introduction to Statistical Programming- SAS', '1']"
"['ST\xa0308', 'Introduction to Statistical Programming - R', '1']"
"['GEP Courses', '_', '_']"
"['GEP Humanities', '6', '_']"
"['GEP Social Sciences', '3', '_']"
"['GEP Health and Exercise Studies', '2', '_']"
"['GEP Elective', '3', '_']"
"['GEP Interdisciplinary Perspectives', '5', '_']"
"['GEP Global Knowledge(verify requirement)', '_', '_']"
"['GEP Foundations of American Democracy(verify requirement)', '_', '_']"
"['World Language Proficiency(verify requirement)', '_', '_']"
"['Free Electives', '_', '_']"
"['Free Electives (12 Hr S/U Lmt)6', '5', '_']"
