"['Orientation', '_', '_']"
"['BCH\xa0103', 'Introduction to Biochemistry1', '1']"
"['orALS\xa0103', 'First-year Success in Agriculture and Life Sciences', '1']"
"['orALS\xa0303', 'Transfer Success in Agriculture and Life Sciences', '1']"
"['orLSC\xa0103', 'Exploring Opportunities in the Life Sciences', '1']"
"['English & Advanced Writing', '_', '_']"
"['ENG\xa0101', 'Academic Writing and Research (C- or better)1', '4']"
"['ENG\xa0331', 'Communication for Engineering and Technology1', '3']"
"['orENG\xa0333', 'Communication for Science and Research', '3']"
"['Mathematical Science & Physics', '_', '_']"
"['Choose one of the following Math sequences:', '12', '_']"
"['MA\xa0141', 'Calculus I1,2', '0']"
"['MA\xa0241', 'Calculus II1,2', '0']"
"['MA\xa0242', 'Calculus III1,2', '0']"
"['OR', '_', '_']"
"['MA\xa0131', 'Calculus for Life and Management Sciences A1,2', '0']"
"['MA\xa0231', 'Calculus for Life and Management Sciences B1,2', '0']"
"['ST\xa0311', 'Introduction to Statistics1,2', '0']"
"['Advised Elective MA, ST or CSC1,2,5', '_', '_']"
"['PY\xa0205&PY\xa0206', 'Physics for Engineers and Scientists Iand Physics for Engineers and Scientists I Laboratory1,3', '4']"
"['orPY\xa0211', 'College Physics I', '4']"
"['PY\xa0208&PY\xa0209', 'Physics for Engineers and Scientists IIand Physics for Engineers and Scientists II Laboratory1,3', '4']"
"['orPY\xa0212', 'College Physics II', '4']"
"['Chemistry/Lab Analysis', '_', '_']"
"['CH\xa0101&CH\xa0102', 'Chemistry - A Molecular Scienceand General Chemistry Laboratory1,8', '4']"
"['CH\xa0201&CH\xa0202', 'Chemistry - A Quantitative Scienceand Quantitative Chemistry Laboratory1,8', '4']"
"['CH\xa0221&CH\xa0222', 'Organic Chemistry Iand Organic Chemistry I Lab1,8', '4']"
"['CH\xa0223&CH\xa0224', 'Organic Chemistry IIand Organic Chemistry II Lab1,8', '4']"
"['Select one of the following Physical Chemistry sequences:', '6', '4']"
"['CH\xa0331', 'Introductory Physical Chemistry1,7', '0']"
"['orBCH\xa0330', 'Physical Biochemistry', '0']"
"['Sciences Advised Elective1,7', '_', '_']"
"['OR', '_', '_']"
"['CH\xa0431&CH\xa0433', 'Physical Chemistry Iand Physical Chemistry II1,7', '0']"
"['Laboratory Analysis Elective1,6', '3', '0']"
"['Life Sciences', '_', '_']"
"['LSC\xa0101', 'Critical and Creative Thinking in the Life Sciences', '2']"
"['BIO\xa0181', 'Introductory Biology: Ecology, Evolution, and Biodiversity1', '4']"
"['BIO\xa0183', 'Introductory Biology: Cellular and Molecular Biology1', '4']"
"['Advised Elective1,4', '3', '4']"
"['BCH\xa0451', 'Principles of Biochemistry1', '4']"
"['BCH\xa0453', 'Biochemistry of Gene Expression1', '3']"
"['orBCH\xa0553', 'Biochemistry of Gene Expression', '3']"
"['BCH\xa0455', 'Proteins and Molecular Mechanisms1', '3']"
"['orBCH\xa0555', 'Proteins and Molecular Mechanisms', '3']"
"['Biochemistry Laboratory Elective', '5-6', '3']"
"['BCH\xa0452', 'Introductory Biochemistry Laboratory1', '0']"
"['and one of the following:', '_', '_']"
"['BCH\xa0454', 'Advanced Biochemistry Laboratory1,6', '0']"
"['ALS\xa0499', 'Honors Research or Teaching II1', '0']"
"['BCH\xa0492', 'External Learning Experience1', '0']"
"['BCH\xa0493', 'Special Problems in Biochemistry1', '0']"
"['MB\xa0351', 'General Microbiology1', '3']"
"['MB\xa0352', 'General Microbiology Laboratory1', '1']"
"['orMB\xa0354', 'Inquiry-Guided Microbiology Lab', '1']"
"['GN\xa0311', 'Principles of Genetics1', '4']"
"['Cell Biology/Physiology:  Select one of the following:', '3', '4']"
"['BIO\xa0240', 'Principles of Human Anatomy & Physiology (A): Nervous, Skeletal, Muscular, & Digestive Systems1', '0']"
"['BIO\xa0245', 'Principles of Human Anatomy & Physiology (B): Endocrine, Cardiovascular, Respiratory & Renal Systems1', '0']"
"['BIO\xa0414', 'Cell Biology1', '0']"
"['PB\xa0421', 'Plant Physiology1', '0']"
"['GEP Courses', '_', '_']"
"['GEP Humanities', '6', '_']"
"['GEP Social Sciences', '6', '_']"
"['GEP Health and Exercise Studies', '2', '_']"
"['GEP Elective', '3', '_']"
"['GEP Interdisciplinary Perspectives', '3', '_']"
"['GEP Global Knowledge(verify requirement)', '_', '_']"
"['GEP Foundations of American Democracy(verify requirement)', '_', '_']"
"['World Language Proficiency(verify requirement)', '_', '_']"
"['Free Electives', '_', '_']"
"['Free Electives (12 Hr S/U Lmt)2', '8', '_']"
