"['Exploring the Life Sciences', '_', '_']"
"['LSC\xa0103', 'Exploring Opportunities in the Life Sciences', '1']"
"['Writing', '_', '_']"
"['Advanced Writing Requirement Electives1', '3', '_']"
"['Cannot be double-counted for a GEP requirement.', '_', '_']"
"['Biological Sciences', '_', '_']"
"['LSC\xa0101', 'Critical and Creative Thinking in the Life Sciences1', '2']"
"['BIO\xa0181', 'Introductory Biology: Ecology, Evolution, and Biodiversity1', '4']"
"['BIO\xa0183', 'Introductory Biology: Cellular and Molecular Biology1', '4']"
"['Physiology Electives1', '7', '4']"
"['GN\xa0311', 'Principles of Genetics1', '4']"
"['MB\xa0351', 'General Microbiology1', '3']"
"['MB\xa0352', 'General Microbiology Laboratory1', '1']"
"['orMB\xa0354', 'Inquiry-Guided Microbiology Lab', '1']"
"['BCH\xa0351', 'General Biochemistry1', '3']"
"['orBCH\xa0451', 'Principles of Biochemistry', '3']"
"['Physical & Mathematical Sciences', '_', '_']"
"['MA\xa0131', 'Calculus for Life and Management Sciences A1', '3']"
"['orMA\xa0141', 'Calculus I', '3']"
"['MA\xa0231', 'Calculus for Life and Management Sciences B1', '3']"
"['orMA\xa0241', 'Calculus II', '3']"
"['CH\xa0101', 'Chemistry - A Molecular Science1', '3']"
"['CH\xa0102', 'General Chemistry Laboratory1', '1']"
"['CH\xa0201', 'Chemistry - A Quantitative Science1', '3']"
"['CH\xa0202', 'Quantitative Chemistry Laboratory1', '1']"
"['CH\xa0221', 'Organic Chemistry I1', '3']"
"['CH\xa0222', 'Organic Chemistry I Lab1', '1']"
"['CH\xa0223', 'Organic Chemistry II1', '3']"
"['CH\xa0224', 'Organic Chemistry II Lab1', '1']"
"['Select one of the following:1', '4', '1']"
"['PY\xa0211', 'College Physics I', '0']"
"['PY\xa0205&PY\xa0206', 'Physics for Engineers and Scientists Iand Physics for Engineers and Scientists I Laboratory', '0']"
"['Select one of the following:1', '4', '0']"
"['PY\xa0212', 'College Physics II', '0']"
"['PY\xa0208&PY\xa0209', 'Physics for Engineers and Scientists IIand Physics for Engineers and Scientists II Laboratory', '0']"
"['ST\xa0311', 'Introduction to Statistics1', '3']"
"['Major Electives', '_', '_']"
"['Human Biology Electives1', '12', '_']"
"['Students can use up to 3 hours ofBIO\xa0269,BSC\xa0492,BSC\xa0493,BSC\xa0494,BSC\xa0498,GN\xa0453,PSY\xa0491, or BIO 499 toward this requirement.', '_', '_']"
"['Additional Science & Math Electives', '9', '_']"
"['GEP Courses', '_', '_']"
"['ENG\xa0101', 'Academic Writing and Research1', '4']"
"['GEP Humanities', '6', '4']"
"['GEP Social Sciences', '6', '4']"
"['GEP Health and Exercise Studies', '2', '4']"
"['GEP Elective', '3', '4']"
"['GEP Interdisciplinary Perspectives', '3', '4']"
"['GEP Global Knowledge(verify requirement)', '_', '_']"
"['GEP Foundations of American Democracy(verify requirement)', '_', '_']"
"['World Language Proficiency(verify requirement)', '_', '_']"
"['Free Electives', '_', '_']"
"['Free Electives (12 Hr S/U Lmt)2', '10', '_']"
"['These electives cannot be remedial nor can they be taken at an elementary level after you have taken comparable coursework at a more advanced level. Students interested in graduate school or professional school should check the courses required for admission to the programs to which they plan to apply.', '_', '_']"
