"['Orientation', '_', '_']"
"['Select one of the following courses:1', '1', '_']"
"['Freshmen in LSFY should selectLSC\xa0103. Freshmen in ENVFY should selectENV\xa0100. Transfer students should selectBSC\xa0303.', '_', '_']"
"['LSC\xa0103', 'Exploring Opportunities in the Life Sciences', '0']"
"['ENV\xa0100', 'Student Success in Environmental First Year', '0']"
"['BSC\xa0303', 'Transfer Student Transitions', '0']"
"['Advanced Writing/Communication', '_', '_']"
"['Select one of the following courses:1', '3', '_']"
"['ENG\xa0333', 'Communication for Science and Research', '0']"
"['BIO\xa0267', 'Research in the Life Sciences I: Research Skills', '0']"
"['Mathematical Sciences & Physics', '_', '_']"
"['MA\xa0131', 'Calculus for Life and Management Sciences A1', '3']"
"['orMA\xa0141', 'Calculus I', '3']"
"['MA\xa0231', 'Calculus for Life and Management Sciences B1', '3']"
"['orMA\xa0241', 'Calculus II', '3']"
"['ST\xa0311', 'Introduction to Statistics1', '3']"
"['orST\xa0371', 'Introduction to Probability and Distribution Theory', '3']"
"['PY\xa0211', 'College Physics I1,2,3', '4']"
"['PY\xa0212', 'College Physics II1,2,3', '4']"
"['Chemistry', '_', '_']"
"['CH\xa0101', 'Chemistry - A Molecular Science1', '3']"
"['CH\xa0102', 'General Chemistry Laboratory1', '1']"
"['CH\xa0201', 'Chemistry - A Quantitative Science1,2', '3']"
"['CH\xa0202', 'Quantitative Chemistry Laboratory1', '1']"
"['CH\xa0221', 'Organic Chemistry I1', '3']"
"['CH\xa0222', 'Organic Chemistry I Lab1', '1']"
"['CH\xa0223', 'Organic Chemistry II1,2', '3']"
"['CH\xa0224', 'Organic Chemistry II Lab1', '1']"
"['Required Life Sciences4', '_', '_']"
"['LSC\xa0101', 'Critical and Creative Thinking in the Life Sciences1', '2']"
"['orENV\xa0101', 'Exploring the Environment', '2']"
"['BIO\xa0181', 'Introductory Biology: Ecology, Evolution, and Biodiversity1', '4']"
"['BIO\xa0183', 'Introductory Biology: Cellular and Molecular Biology1', '4']"
"['GN\xa0311', 'Principles of Genetics1', '4']"
"['GN\xa0312', 'Elementary Genetics Laboratory1', '1']"
